SYS_C0016217 OBJECT_NAME,  null SUBOBJECT_NAME,  30342 OBJECT_ID,  30342 DATA_OBJECT_ID,  INDEX OBJECT_TYPE,  2018-12-01 14:52:25 CREATED,  2018-12-01 14:52:25 LAST_DDL_TIME,  2018-12-01:14:52:25 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  Y GENERATED,  N SECONDARY,  4 NAMESPACE,  null EDITION_NAME
POCKETACCOUNT OBJECT_NAME,  null SUBOBJECT_NAME,  30341 OBJECT_ID,  30341 DATA_OBJECT_ID,  TABLE OBJECT_TYPE,  2018-12-01 14:52:25 CREATED,  2018-12-01 14:52:25 LAST_DDL_TIME,  2018-12-01:14:52:25 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  1 NAMESPACE,  null EDITION_NAME
SYS_C0016213 OBJECT_NAME,  null SUBOBJECT_NAME,  30340 OBJECT_ID,  30340 DATA_OBJECT_ID,  INDEX OBJECT_TYPE,  2018-12-01 14:52:24 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:24 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  Y GENERATED,  N SECONDARY,  4 NAMESPACE,  null EDITION_NAME
PRIMARYOWNER OBJECT_NAME,  null SUBOBJECT_NAME,  30339 OBJECT_ID,  30339 DATA_OBJECT_ID,  TABLE OBJECT_TYPE,  2018-12-01 14:52:24 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:24 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  1 NAMESPACE,  null EDITION_NAME
SYS_C0016210 OBJECT_NAME,  null SUBOBJECT_NAME,  30338 OBJECT_ID,  30338 DATA_OBJECT_ID,  INDEX OBJECT_TYPE,  2018-12-01 14:52:24 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:24 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  Y GENERATED,  N SECONDARY,  4 NAMESPACE,  null EDITION_NAME
OWNER OBJECT_NAME,  null SUBOBJECT_NAME,  30337 OBJECT_ID,  30337 DATA_OBJECT_ID,  TABLE OBJECT_TYPE,  2018-12-01 14:52:24 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:24 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  1 NAMESPACE,  null EDITION_NAME
TID_TRIGGER OBJECT_NAME,  null SUBOBJECT_NAME,  30291 OBJECT_ID,  null DATA_OBJECT_ID,  TRIGGER OBJECT_TYPE,  2018-12-01 14:52:24 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:24 TIMESTAMP,  INVALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  3 NAMESPACE,  null EDITION_NAME
TID_INC OBJECT_NAME,  null SUBOBJECT_NAME,  30336 OBJECT_ID,  null DATA_OBJECT_ID,  SEQUENCE OBJECT_TYPE,  2018-12-01 14:52:24 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:24 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  1 NAMESPACE,  null EDITION_NAME
SYS_C0016209 OBJECT_NAME,  null SUBOBJECT_NAME,  30335 OBJECT_ID,  30335 DATA_OBJECT_ID,  INDEX OBJECT_TYPE,  2018-12-01 14:52:23 CREATED,  2018-12-01 14:52:23 LAST_DDL_TIME,  2018-12-01:14:52:23 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  Y GENERATED,  N SECONDARY,  4 NAMESPACE,  null EDITION_NAME
TRANSACTION OBJECT_NAME,  null SUBOBJECT_NAME,  30334 OBJECT_ID,  30334 DATA_OBJECT_ID,  TABLE OBJECT_TYPE,  2018-12-01 14:52:23 CREATED,  2018-12-01 14:52:24 LAST_DDL_TIME,  2018-12-01:14:52:23 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  1 NAMESPACE,  null EDITION_NAME
SYS_C0016208 OBJECT_NAME,  null SUBOBJECT_NAME,  30333 OBJECT_ID,  30333 DATA_OBJECT_ID,  INDEX OBJECT_TYPE,  2018-12-01 14:52:23 CREATED,  2018-12-01 14:52:23 LAST_DDL_TIME,  2018-12-01:14:52:23 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  Y GENERATED,  N SECONDARY,  4 NAMESPACE,  null EDITION_NAME
RATE OBJECT_NAME,  null SUBOBJECT_NAME,  30332 OBJECT_ID,  30332 DATA_OBJECT_ID,  TABLE OBJECT_TYPE,  2018-12-01 14:52:23 CREATED,  2018-12-01 14:52:23 LAST_DDL_TIME,  2018-12-01:14:52:23 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  N GENERATED,  N SECONDARY,  1 NAMESPACE,  null EDITION_NAME
SYS_C0016207 OBJECT_NAME,  null SUBOBJECT_NAME,  30331 OBJECT_ID,  30331 DATA_OBJECT_ID,  INDEX OBJECT_TYPE,  2018-12-01 14:52:23 CREATED,  2018-12-01 14:52:23 LAST_DDL_TIME,  2018-12-01:14:52:23 TIMESTAMP,  VALID STATUS,  N TEMPORARY,  Y GENERATED,  N SECONDARY,  4 NAMESPACE,  null EDITION_NAME
